mode,workload,expected_label,diagnosis_label,count
automatic,compute_saturation,vllm_compute_saturation,vllm_compute_saturation,24
automatic,healthy,vllm_healthy,vllm_healthy,24
automatic,kv_cache_pressure,vllm_kv_cache_pressure,vllm_kv_cache_pressure,24
automatic,long_output,vllm_long_output,vllm_long_output,24
automatic,long_prompt,vllm_long_prompt,vllm_long_prompt,18
automatic,queue_pressure,vllm_queue_pressure,vllm_queue_pressure,24
fixed_window,compute_saturation,vllm_compute_saturation,vllm_compute_saturation,42
fixed_window,healthy,vllm_healthy,vllm_healthy,42
fixed_window,kv_cache_pressure,vllm_kv_cache_pressure,vllm_kv_cache_pressure,48
fixed_window,long_output,vllm_long_output,vllm_long_output,42
fixed_window,long_prompt,vllm_long_prompt,vllm_long_prompt,38
fixed_window,queue_pressure,vllm_queue_pressure,vllm_queue_pressure,42
