workload,repetitions,automatic_trace_s_mean,fixed_window_trace_s_mean,trace_time_saved_s_mean,trace_time_saved_percent,automatic_bursts_mean,automatic_bursts_stdev,expected_diagnosis_label,expected_label_match_rate,duration_saved_pass,diagnosis_match_pass,burst_stability_pass,overall_pass
compute_bound,5,10.397,16.67,6.273,37.6,1.0,0.0,compute_bound,1.0,True,True,True,True
launch_overhead_or_small_kernel,5,11.917,23.162,11.245,48.5,1.0,0.0,launch_overhead_or_small_kernel,1.0,True,True,True,True
mixed,5,10.224,16.807,6.583,39.2,1.0,0.0,mixed,1.0,True,True,True,True
