scenario,seed,policy,expected_label,selected_windows,heavy_trace_duration_s,trace_volume_proxy_windows,top1_correct,ever_correct,first_correct_window,stop_window,premature_stop,re_escalation_needed,diagnosis_sequence
compute_saturation,5101,fixed_burst,vllm_compute_saturation,1,10.0,1,1,1,0,0,0,1,vllm_compute_saturation
compute_saturation,5101,repeated_fixed_burst,vllm_compute_saturation,3,30.0,3,1,1,0,2,0,1,vllm_compute_saturation|vllm_compute_saturation|vllm_compute_saturation
compute_saturation,5101,stability_stop,vllm_compute_saturation,2,20.0,2,1,1,0,1,0,1,vllm_compute_saturation|vllm_compute_saturation
compute_saturation,5101,marginal_utility_stop,vllm_compute_saturation,2,20.0,2,1,1,0,1,0,1,vllm_compute_saturation|vllm_compute_saturation
compute_saturation,5101,counter_recovery_stop,vllm_compute_saturation,4,30.649,4,1,1,0,3,0,0,vllm_compute_saturation|vllm_compute_saturation|vllm_compute_saturation|vllm_compute_saturation
compute_saturation,5101,hybrid_stop,vllm_compute_saturation,4,30.649,4,1,1,0,3,0,0,vllm_compute_saturation|vllm_compute_saturation|vllm_compute_saturation|vllm_compute_saturation
compute_saturation,5102,fixed_burst,vllm_compute_saturation,1,10.0,1,1,1,0,0,0,1,vllm_compute_saturation
compute_saturation,5102,repeated_fixed_burst,vllm_compute_saturation,3,30.0,3,1,1,0,2,0,1,vllm_compute_saturation|vllm_compute_saturation|vllm_compute_saturation
compute_saturation,5102,stability_stop,vllm_compute_saturation,2,20.0,2,1,1,0,1,0,1,vllm_compute_saturation|vllm_compute_saturation
compute_saturation,5102,marginal_utility_stop,vllm_compute_saturation,2,20.0,2,1,1,0,1,0,1,vllm_compute_saturation|vllm_compute_saturation
compute_saturation,5102,counter_recovery_stop,vllm_compute_saturation,4,30.706,4,1,1,0,3,0,0,vllm_compute_saturation|vllm_compute_saturation|vllm_compute_saturation|vllm_compute_saturation
compute_saturation,5102,hybrid_stop,vllm_compute_saturation,4,30.706,4,1,1,0,3,0,0,vllm_compute_saturation|vllm_compute_saturation|vllm_compute_saturation|vllm_compute_saturation
compute_saturation,5103,fixed_burst,vllm_compute_saturation,1,10.0,1,1,1,0,0,0,1,vllm_compute_saturation
compute_saturation,5103,repeated_fixed_burst,vllm_compute_saturation,3,30.0,3,1,1,0,2,0,1,vllm_compute_saturation|vllm_compute_saturation|vllm_compute_saturation
compute_saturation,5103,stability_stop,vllm_compute_saturation,2,20.0,2,1,1,0,1,0,1,vllm_compute_saturation|vllm_compute_saturation
compute_saturation,5103,marginal_utility_stop,vllm_compute_saturation,2,20.0,2,1,1,0,1,0,1,vllm_compute_saturation|vllm_compute_saturation
compute_saturation,5103,counter_recovery_stop,vllm_compute_saturation,4,30.824,4,1,1,0,3,0,0,vllm_compute_saturation|vllm_compute_saturation|vllm_compute_saturation|vllm_compute_saturation
compute_saturation,5103,hybrid_stop,vllm_compute_saturation,4,30.824,4,1,1,0,3,0,0,vllm_compute_saturation|vllm_compute_saturation|vllm_compute_saturation|vllm_compute_saturation
healthy,5101,fixed_burst,vllm_healthy,1,10.0,1,1,1,0,0,0,1,vllm_healthy
healthy,5101,repeated_fixed_burst,vllm_healthy,3,30.0,3,1,1,0,2,0,1,vllm_healthy|vllm_healthy|vllm_healthy
healthy,5101,stability_stop,vllm_healthy,2,20.0,2,1,1,0,1,0,1,vllm_healthy|vllm_healthy
healthy,5101,marginal_utility_stop,vllm_healthy,2,20.0,2,1,1,0,1,0,1,vllm_healthy|vllm_healthy
healthy,5101,counter_recovery_stop,vllm_healthy,4,30.341,4,1,1,0,3,0,0,vllm_healthy|vllm_healthy|vllm_healthy|vllm_healthy
healthy,5101,hybrid_stop,vllm_healthy,4,30.341,4,1,1,0,3,0,0,vllm_healthy|vllm_healthy|vllm_healthy|vllm_healthy
healthy,5102,fixed_burst,vllm_healthy,1,10.0,1,1,1,0,0,0,1,vllm_healthy
healthy,5102,repeated_fixed_burst,vllm_healthy,3,30.0,3,1,1,0,2,0,1,vllm_healthy|vllm_healthy|vllm_healthy
healthy,5102,stability_stop,vllm_healthy,2,20.0,2,1,1,0,1,0,1,vllm_healthy|vllm_healthy
healthy,5102,marginal_utility_stop,vllm_healthy,2,20.0,2,1,1,0,1,0,1,vllm_healthy|vllm_healthy
healthy,5102,counter_recovery_stop,vllm_healthy,4,30.447,4,1,1,0,3,0,0,vllm_healthy|vllm_healthy|vllm_healthy|vllm_healthy
healthy,5102,hybrid_stop,vllm_healthy,4,30.447,4,1,1,0,3,0,0,vllm_healthy|vllm_healthy|vllm_healthy|vllm_healthy
healthy,5103,fixed_burst,vllm_healthy,1,10.0,1,1,1,0,0,0,1,vllm_healthy
healthy,5103,repeated_fixed_burst,vllm_healthy,3,30.0,3,1,1,0,2,0,1,vllm_healthy|vllm_healthy|vllm_healthy
healthy,5103,stability_stop,vllm_healthy,2,20.0,2,1,1,0,1,0,1,vllm_healthy|vllm_healthy
healthy,5103,marginal_utility_stop,vllm_healthy,2,20.0,2,1,1,0,1,0,1,vllm_healthy|vllm_healthy
healthy,5103,counter_recovery_stop,vllm_healthy,4,30.476,4,1,1,0,3,0,0,vllm_healthy|vllm_healthy|vllm_healthy|vllm_healthy
healthy,5103,hybrid_stop,vllm_healthy,4,30.476,4,1,1,0,3,0,0,vllm_healthy|vllm_healthy|vllm_healthy|vllm_healthy
kv_cache_pressure,5101,fixed_burst,vllm_kv_cache_pressure,1,10.0,1,1,1,0,0,0,1,vllm_kv_cache_pressure
kv_cache_pressure,5101,repeated_fixed_burst,vllm_kv_cache_pressure,3,30.0,3,1,1,0,2,0,1,vllm_kv_cache_pressure|vllm_kv_cache_pressure|vllm_kv_cache_pressure
kv_cache_pressure,5101,stability_stop,vllm_kv_cache_pressure,2,20.0,2,1,1,0,1,0,1,vllm_kv_cache_pressure|vllm_kv_cache_pressure
kv_cache_pressure,5101,marginal_utility_stop,vllm_kv_cache_pressure,2,20.0,2,1,1,0,1,0,1,vllm_kv_cache_pressure|vllm_kv_cache_pressure
kv_cache_pressure,5101,counter_recovery_stop,vllm_kv_cache_pressure,4,30.695,4,1,1,0,3,0,0,vllm_kv_cache_pressure|vllm_kv_cache_pressure|vllm_kv_cache_pressure|vllm_kv_cache_pressure
kv_cache_pressure,5101,hybrid_stop,vllm_kv_cache_pressure,4,30.695,4,1,1,0,3,0,0,vllm_kv_cache_pressure|vllm_kv_cache_pressure|vllm_kv_cache_pressure|vllm_kv_cache_pressure
kv_cache_pressure,5102,fixed_burst,vllm_kv_cache_pressure,1,10.0,1,1,1,0,0,0,1,vllm_kv_cache_pressure
kv_cache_pressure,5102,repeated_fixed_burst,vllm_kv_cache_pressure,3,30.0,3,1,1,0,2,0,1,vllm_kv_cache_pressure|vllm_kv_cache_pressure|vllm_kv_cache_pressure
kv_cache_pressure,5102,stability_stop,vllm_kv_cache_pressure,2,20.0,2,1,1,0,1,0,1,vllm_kv_cache_pressure|vllm_kv_cache_pressure
kv_cache_pressure,5102,marginal_utility_stop,vllm_kv_cache_pressure,2,20.0,2,1,1,0,1,0,1,vllm_kv_cache_pressure|vllm_kv_cache_pressure
kv_cache_pressure,5102,counter_recovery_stop,vllm_kv_cache_pressure,4,30.611,4,1,1,0,3,0,0,vllm_kv_cache_pressure|vllm_kv_cache_pressure|vllm_kv_cache_pressure|vllm_kv_cache_pressure
kv_cache_pressure,5102,hybrid_stop,vllm_kv_cache_pressure,4,30.611,4,1,1,0,3,0,0,vllm_kv_cache_pressure|vllm_kv_cache_pressure|vllm_kv_cache_pressure|vllm_kv_cache_pressure
kv_cache_pressure,5103,fixed_burst,vllm_kv_cache_pressure,1,10.0,1,1,1,0,0,0,1,vllm_kv_cache_pressure
kv_cache_pressure,5103,repeated_fixed_burst,vllm_kv_cache_pressure,3,30.0,3,1,1,0,2,0,1,vllm_kv_cache_pressure|vllm_kv_cache_pressure|vllm_kv_cache_pressure
kv_cache_pressure,5103,stability_stop,vllm_kv_cache_pressure,2,20.0,2,1,1,0,1,0,1,vllm_kv_cache_pressure|vllm_kv_cache_pressure
kv_cache_pressure,5103,marginal_utility_stop,vllm_kv_cache_pressure,2,20.0,2,1,1,0,1,0,1,vllm_kv_cache_pressure|vllm_kv_cache_pressure
kv_cache_pressure,5103,counter_recovery_stop,vllm_kv_cache_pressure,4,30.673,4,1,1,0,3,0,0,vllm_kv_cache_pressure|vllm_kv_cache_pressure|vllm_kv_cache_pressure|vllm_kv_cache_pressure
kv_cache_pressure,5103,hybrid_stop,vllm_kv_cache_pressure,4,30.673,4,1,1,0,3,0,0,vllm_kv_cache_pressure|vllm_kv_cache_pressure|vllm_kv_cache_pressure|vllm_kv_cache_pressure
long_output,5101,fixed_burst,vllm_long_output,1,10.0,1,1,1,0,0,0,1,vllm_long_output
long_output,5101,repeated_fixed_burst,vllm_long_output,3,30.0,3,1,1,0,2,0,1,vllm_long_output|vllm_long_output|vllm_long_output
long_output,5101,stability_stop,vllm_long_output,2,20.0,2,1,1,0,1,0,1,vllm_long_output|vllm_long_output
