workload,repetitions,automatic_trace_s_mean,fixed_window_trace_s_mean,trace_time_saved_s_mean,trace_time_saved_percent,automatic_bursts_mean,automatic_bursts_stdev,expected_diagnosis_label,expected_label_match_rate,duration_saved_pass,diagnosis_match_pass,burst_stability_pass,overall_pass
compute_bound,5,7.422,12.313,4.89,39.7,1.0,0.0,compute_bound,1.0,True,True,True,True
launch_overhead_or_small_kernel,5,12.109,21.445,9.336,43.5,1.0,0.0,launch_overhead_or_small_kernel,1.0,True,True,True,True
mixed,5,9.306,17.487,8.18,46.8,1.0,0.0,mixed,1.0,True,True,True,True
