workload,automatic_windows,fixed_window_windows,automatic_suspicious_windows,fixed_window_suspicious_windows,automatic_profiler_bursts,fixed_window_profiler_bursts,automatic_profiler_duration_s,fixed_window_profiler_duration_s,profiler_duration_saved_s,automatic_kernel_instances,fixed_window_kernel_instances,automatic_kernel_total_time_ns,fixed_window_kernel_total_time_ns,automatic_diagnosis_counts,fixed_window_diagnosis_counts
launch_overhead_or_small_kernel,7,9,6,7,1,1,11.577646493911743,23.084532499313354,11.506886005401611,150785,602369,466710792.0,1821804622.0,"{""launch_overhead_or_small_kernel"": 6, ""possible_launch_overhead_or_small_kernel"": 1}","{""launch_overhead_or_small_kernel"": 7, ""possible_launch_overhead_or_small_kernel"": 2}"
mixed,7,8,5,5,1,1,10.185044527053833,16.540745735168457,6.355701208114624,2343,10048,1791329341.0,7485432931.0,"{""latency_regression_unknown_gpu_cause"": 2, ""mixed"": 5}","{""latency_regression_unknown_gpu_cause"": 3, ""mixed"": 5}"
compute_bound,7,8,5,5,1,1,10.344363689422607,16.749990701675415,6.405627012252808,454,1912,1889908844.0,7811436692.0,"{""compute_bound"": 5, ""latency_regression_unknown_gpu_cause"": 2}","{""compute_bound"": 5, ""latency_regression_unknown_gpu_cause"": 3}"
