signal,correct_stop_precision,correct_stop_recall,correct_stop_f1,ambiguous_stop_precision,ambiguous_stop_recall,ambiguous_stop_f1,predicted_positive,support_correct,support_ambiguous,rank
latency_recovered,1.0,1.0,1.0,0.0,0.0,0.0,69,69,0,1
queue_pressure_low,1.0,1.0,1.0,0.0,0.0,0.0,69,69,0,2
throughput_recovered,1.0,0.783,0.878,0.0,0.0,0.0,54,69,0,3
diagnosis_stable_2,1.0,0.739,0.85,0.0,0.0,0.0,51,69,0,4
diagnosis_changed_from_previous,0.0,0.0,0.0,0.0,0.0,0.0,0,69,0,5
gpu_util_recovered,0.0,0.0,0.0,0.0,0.0,0.0,0,69,0,6
memory_pressure_low,0.0,0.0,0.0,0.0,0.0,0.0,0,69,0,7
