scenario,repetitions,mode_orders,no_profiler_p95_latency_ms,cheap_metrics_p95_latency_ms,p95_latency_regression_percent,no_profiler_throughput_rps,cheap_metrics_throughput_rps,throughput_change_percent,cheap_metrics_success_rate,p95_latency_pass,success_rate_pass,overall_pass
queue_pressure,5,no_profiler|cheap_metrics_only;cheap_metrics_only|no_profiler;cheap_metrics_only|no_profiler;cheap_metrics_only|no_profiler;no_profiler|cheap_metrics_only,7142.66,6886.169,-3.556,2.448,2.398,-0.982,100.0,True,True,True
healthy,3,cheap_metrics_only|no_profiler;cheap_metrics_only|no_profiler;no_profiler|cheap_metrics_only,3698.749,3722.236,0.646,0.271,0.27,-0.475,100.0,True,True,True
