scenario,seed,window_id,expected_label,diagnosis_label,target_correct_stop,target_ambiguous_stop,diagnosis_stable_2,diagnosis_changed_from_previous,diagnosis_confident,diagnosis_margin_clear,latency_recovered,queue_delay_recovered,gpu_util_recovered,memory_pressure_low,throughput_recovered,queue_pressure_low,kernel_duration_stable,latency_ratio_vs_baseline,queue_delay_proxy_p95_ms,gpu_util_percent_mean,gpu_memory_used_percent_mean,request_throughput_rps,throughput_ratio_vs_baseline,queue_pressure_score,diagnosis_confidence,diagnosis_rank_margin,kernel_duration_cv,kernel_duration_stability_delta_percent
healthy,9201,3,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,1,1,0,0.996,0.0,98.723,96.722,0.2,1.0,0.0,0.55,0.315,0.0,0.0
healthy,9201,4,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,1,1,0,0.996,0.0,98.5,96.722,0.3,1.5,0.0,0.55,0.313,0.0,0.0
healthy,9201,5,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,1,1,0,0.997,0.0,98.556,96.722,0.3,1.5,0.0,0.55,0.314,0.0,0.0
healthy,9201,6,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,0,1,0,0.0,0.0,98.714,96.722,0.0,0.0,0.0,0.55,0.315,0.0,0.0
healthy,9202,0,vllm_healthy,vllm_healthy,1,0,0,0,0,1,1,1,0,0,1,1,0,1.0,1.296,94.328,97.712,0.2,1.0,0.005,0.55,0.282,0.0,0.0
healthy,9202,1,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,1,1,0,0.999,6.528,98.565,97.712,0.3,1.5,0.026,0.55,0.314,0.0,0.0
healthy,9202,2,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,1,1,0,1.0,0.0,98.516,97.712,0.3,1.5,0.0,0.55,0.314,0.0,0.0
healthy,9202,3,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,1,1,0,0.999,0.0,98.484,97.712,0.2,1.0,0.0,0.55,0.314,0.0,0.0
healthy,9202,4,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,1,1,0,0.999,1.336,98.383,97.712,0.3,1.5,0.005,0.55,0.313,0.0,0.0
healthy,9202,5,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,1,1,0,1.0,6.078,98.295,97.712,0.3,1.5,0.024,0.55,0.312,0.0,0.0
healthy,9202,6,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,0,1,0,0.0,0.0,98.81,97.712,0.0,0.0,0.0,0.55,0.316,0.0,0.0
healthy,9203,0,vllm_healthy,vllm_healthy,1,0,0,0,0,1,1,1,0,0,1,1,0,1.0,1.158,95.969,97.712,0.2,1.0,0.005,0.55,0.295,0.0,0.0
healthy,9203,1,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,1,1,0,1.0,2.892,98.609,97.712,0.3,1.5,0.012,0.55,0.315,0.0,0.0
healthy,9203,2,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,1,1,0,1.001,4.519,98.415,97.712,0.3,1.5,0.019,0.55,0.313,0.0,0.0
healthy,9203,3,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,1,1,0,1.001,3.231,98.562,97.712,0.2,1.0,0.013,0.55,0.314,0.0,0.0
healthy,9203,4,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,1,1,0,1.0,1.179,98.452,97.712,0.3,1.5,0.005,0.55,0.313,0.0,0.0
healthy,9203,5,vllm_healthy,vllm_healthy,1,0,1,0,0,1,1,1,0,0,1,1,0,1.0,0.0,98.578,97.712,0.3,1.5,0.0,0.55,0.314,0.0,0.0
