baseline,source,streams,top1_accuracy_mean,ambiguous_rate_mean,premature_stop_rate_mean,re_escalation_rate_mean,profiler_duration_s_total,profiler_duration_s_mean,duration_saved_vs_manual_long_percent,kernel_instances_total,kernel_instances_mean,trace_windows_mean
Adaptive live,live,18,1.0,0.0,0.0,,1718.443,95.469,27.959,5607171.0,311509.5,
Counter-Recovery Stop replay,offline replay,18,1.0,,0.0,0.0,569.579,31.643,76.122,,,4.0
Equal-duration fixed burst replay,offline replay,18,1.0,,0.0,1.0,180.0,10.0,92.454,,,1.0
Hybrid Stop replay,offline replay,18,1.0,,0.0,0.0,569.579,31.643,76.122,,,4.0
Manual long fixed-window live,live,18,1.0,0.0,0.0,,2385.358,132.52,0.0,10848586.0,602699.222,
Repeated fixed burst N=3 replay,offline replay,18,1.0,,0.0,1.0,540.0,30.0,77.362,,,3.0
Stability Stop K=2 replay,offline replay,18,1.0,,0.0,1.0,360.0,20.0,84.908,,,2.0
