timestamp_start,timestamp_end,window_id,scenario,workload_phase_label,duration_s,request_count,request_success_count,request_error_count,request_success_rate,request_latency_mean_ms,request_latency_p50_ms,request_latency_p95_ms,request_throughput_rps,prompt_tokens_mean,output_tokens_mean,output_tokens_per_s,configured_concurrency,requested_max_tokens,queue_pressure_proxy,latency_ratio_vs_baseline,gpu_name,gpu_util_percent_mean,gpu_memory_util_percent_mean,gpu_memory_used_mib_mean,gpu_memory_free_mib_mean,gpu_memory_total_mib_mean,gpu_memory_used_percent_mean,gpu_temperature_c_mean,gpu_power_watts_mean,gpu_power_limit_watts_mean,sm_clock_mhz_mean,memory_clock_mhz_mean,pcie_tx_kbps_mean,pcie_rx_kbps_mean,controller_cpu_util_percent,controller_memory_rss_mib,suspicion_reasons,controller_state,trigger_trace,diagnosis_label,time_to_first_token_p50_ms,time_to_first_token_p95_ms
1781642456.2778502,1781642466.2778502,0,kv_cache_pressure,vllm_kv_cache_pressure,10.0,0,0,0,,,,,0.0,,,0.0,8,192,,,NVIDIA L4,95.64179104477611,60.059701492537314,22501.0,533.0,23034.0,97.68602934792047,56.6865671641791,68.96002985074627,72.0,1287.7611940298507,6250.0,2622.3880597014927,6349.253731343284,0.0,39.27734375,high_gpu_util,suspicious,1,vllm_kv_cache_pressure,,
1781642466.2778502,1781642476.2778502,1,kv_cache_pressure,vllm_kv_cache_pressure,10.0,8,8,0,100.0,19398.059606552124,19394.811868667603,19714.545130729675,0.8,1589.0,86.0,68.8,8,192,,,NVIDIA L4,98.703125,100.0,22501.0,533.0,23034.0,97.68602934792047,56.21875,72.1098125,72.0,1739.0625,6250.0,5266.40625,12636.71875,0.0,39.27734375,high_gpu_util,suspicious,1,vllm_kv_cache_pressure,,
1781642476.2778502,1781642486.2778502,2,kv_cache_pressure,vllm_kv_cache_pressure,10.0,0,0,0,,,,,0.0,,,0.0,8,192,,,NVIDIA L4,99.43283582089552,63.32835820895522,22501.0,533.0,23034.0,97.68602934792047,58.343283582089555,71.65792537313433,72.0,1284.402985074627,6250.0,2991.044776119403,6284.328358208955,0.0,39.27734375,high_gpu_util,suspicious,1,vllm_kv_cache_pressure,,
1781642486.2778502,1781642496.2778502,3,kv_cache_pressure,vllm_kv_cache_pressure,10.0,8,8,0,100.0,19397.94433116913,19393.292903900146,19715.69221019745,0.8,1589.0,86.0,68.8,8,192,,,NVIDIA L4,98.33333333333333,99.01587301587301,22501.0,533.0,23034.0,97.68602934792047,57.20634920634921,72.00309523809523,72.0,1724.047619047619,6250.0,4780.158730158731,13064.285714285714,0.0,39.27734375,high_gpu_util,suspicious,1,vllm_kv_cache_pressure,,
1781642496.2778502,1781642506.2778502,4,kv_cache_pressure,vllm_kv_cache_pressure,10.0,0,0,0,,,,,0.0,,,0.0,8,192,,,NVIDIA L4,99.40625,64.6875,22501.0,533.0,23034.0,97.68602934792047,59.25,71.882484375,72.0,1297.03125,6250.0,3142.1875,7144.53125,1270.9,39.27734375,high_gpu_util,suspicious,1,vllm_kv_cache_pressure,,
1781642506.2778502,1781642516.2778502,5,kv_cache_pressure,vllm_kv_cache_pressure,10.0,8,8,0,100.0,19449.576199054718,19446.5491771698,19765.849769115448,0.8,1589.0,86.0,68.8,8,192,,,NVIDIA L4,98.63492063492063,97.65079365079364,22501.0,533.0,23034.0,97.68602934792047,58.15873015873016,71.86719047619047,72.0,1697.142857142857,6250.0,5479.3650793650795,12284.126984126984,0.0,39.27734375,high_gpu_util,suspicious,1,vllm_kv_cache_pressure,,
1781642516.2778502,1781642526.2778502,6,kv_cache_pressure,vllm_kv_cache_pressure,10.0,0,0,0,,,,,0.0,,,0.0,8,192,,,NVIDIA L4,99.25757575757575,65.86363636363636,22501.0,533.0,23034.0,97.68602934792047,59.696969696969695,71.79059090909091,72.0,1314.3181818181818,6250.0,3110.6060606060605,6903.030303030303,0.0,39.27734375,high_gpu_util,suspicious,1,vllm_kv_cache_pressure,,
1781642526.2778502,1781642535.3971515,7,kv_cache_pressure,vllm_kv_cache_pressure,9.119301319122314,7,7,0,100.0,19368.92635481698,19355.146169662476,19642.589044570923,0.7676026654938641,1589.0,86.0,66.01382923247232,8,192,,,NVIDIA L4,98.85714285714286,100.0,22501.0,533.0,23034.0,97.68602934792047,58.67857142857143,72.16025,72.0,1727.142857142857,6250.0,5367.857142857143,13525.0,0.0,39.27734375,high_gpu_util,suspicious,1,vllm_kv_cache_pressure,,
