timestamp_start,timestamp_end,window_id,scenario,workload_phase_label,duration_s,request_count,request_success_count,request_error_count,request_success_rate,request_latency_mean_ms,request_latency_p50_ms,request_latency_p95_ms,request_throughput_rps,request_throughput_baseline_rps,request_throughput_ratio_vs_baseline,queue_delay_proxy_mean_ms,queue_delay_proxy_p95_ms,prompt_tokens_mean,output_tokens_mean,output_tokens_per_s,configured_concurrency,requested_max_tokens,queue_pressure_proxy,queue_pressure_score,latency_baseline_mean_ms,latency_baseline_p50_ms,latency_ratio_vs_baseline,latency_ratio_vs_initial_window,gpu_name,gpu_util_percent_mean,gpu_memory_util_percent_mean,gpu_memory_used_mib_mean,gpu_memory_free_mib_mean,gpu_memory_total_mib_mean,gpu_memory_used_percent_mean,gpu_temperature_c_mean,gpu_power_watts_mean,gpu_power_limit_watts_mean,sm_clock_mhz_mean,memory_clock_mhz_mean,pcie_tx_kbps_mean,pcie_rx_kbps_mean,controller_cpu_util_percent,controller_memory_rss_mib,suspicion_reasons,controller_state,trigger_trace,diagnosis_label,diagnosis_stability_streak,diagnosis_changed_from_previous,diagnosis_top_candidate,diagnosis_runner_up,diagnosis_confidence,diagnosis_rank_margin,latency_recovery_streak,gpu_util_recovery_streak,throughput_recovery_streak,queue_delay_recovery_streak,kernel_duration_mean_ns,kernel_duration_cv,kernel_duration_stability_delta_percent,kernel_duration_stable,kernel_summary_source,time_to_first_token_p50_ms,time_to_first_token_p95_ms
1782184013.6098955,1782184023.6098955,0,long_output,vllm_long_output,10.0,4,4,0,100.0,7204.348921775818,7204.472780227661,7211.233484745026,0.4,0.4,1.0,2.751290798187256,6.7607045173645,198.0,404.5,161.8,4,512,,0.027042818069458,7204.348921775818,7204.472780227661,1.0,1.0,NVIDIA A100-PCIE-40GB,87.22535211267606,79.49295774647888,38004.63116197183,2955.368838028169,40960.0,92.7847440477828,45.74647887323944,232.40878873239438,250.0,1385.0704225352113,1215.0,10242.422535211268,38797.859154929574,0.0,55.203125,high_gpu_util,suspicious,1,vllm_long_output,1,0,vllm_compute_saturation,vllm_long_output,0.647875,0.13131514084507045,1,0,1,1,,,,,,,
1782184023.6098955,1782184033.6098955,1,long_output,vllm_long_output,10.0,4,4,0,100.0,7107.548713684082,7107.337594032288,7114.605677127838,0.4,0.4,1.0,0.0,0.0,198.0,398.5,159.4,4,512,,0.0,7204.348921775818,7204.472780227661,0.9865636424411444,0.9865173775849418,NVIDIA A100-PCIE-40GB,92.62857142857143,84.94285714285714,38038.858928571426,2921.1410714285716,40960.0,92.86830793108258,50.84285714285714,245.48695714285714,250.0,1405.0714285714287,1215.0,13134.942857142858,40209.42857142857,0.0,55.203125,high_gpu_util,suspicious,1,vllm_long_output,2,0,vllm_compute_saturation,vllm_long_output,0.6353595463661716,0.1826751946532572,2,0,2,2,,,,,,,
1782184033.6098955,1782184043.6098955,2,long_output,vllm_long_output,10.0,8,8,0,100.0,7086.72109246254,7086.092472076416,7097.75949716568,0.8,0.4,2.0,0.0,0.0,198.0,402.5,322.0,4,512,,0.0,7204.348921775818,7204.472780227661,0.9836726634716793,0.9835684981035483,NVIDIA A100-PCIE-40GB,92.40579710144928,83.6231884057971,38146.19474637681,2813.8052536231885,40960.0,93.13035826752152,54.0,243.63686956521738,250.0,1401.304347826087,1215.0,11432.376811594202,39678.362318840576,0.0,55.203125,high_gpu_util,suspicious,1,vllm_long_output,3,0,vllm_compute_saturation,vllm_long_output,0.6419258995207519,0.17407666167407776,3,0,3,3,,,,,,,
1782184043.6098955,1782184053.6098955,3,long_output,vllm_long_output,10.0,4,4,0,100.0,7110.545873641968,7110.66746711731,7117.481756210327,0.4,0.4,1.0,0.0,0.0,198.0,401.0,160.4,4,512,,0.0,7204.348921775818,7204.472780227661,0.9869796633738378,0.9869795728331716,NVIDIA A100-PCIE-40GB,92.36923076923077,84.75384615384615,38165.672115384616,2794.3278846153844,40960.0,93.17791043795071,56.09230769230769,246.9522,250.0,1400.3076923076924,1215.0,10409.692307692309,39922.89230769231,0.0,55.203125,high_gpu_util,suspicious,1,vllm_long_output,4,0,vllm_compute_saturation,vllm_long_output,0.6397969495060756,0.1763447391848849,4,0,4,4,,,,,,,
1782184053.6098955,1782184063.6098955,4,long_output,vllm_long_output,10.0,8,8,0,100.0,7118.561089038849,7117.204070091248,7129.597878456116,0.8,0.4,2.0,0.0,0.0,198.0,402.0,321.6,4,512,,0.0,7204.348921775818,7204.472780227661,0.9880922157340731,0.987886870726208,NVIDIA A100-PCIE-40GB,92.45714285714286,84.98571428571428,38172.40178571428,2787.598214285714,40960.0,93.19434029715401,57.91428571428571,247.17887142857143,250.0,1398.2142857142858,1215.0,10405.5,39718.41428571429,0.0,55.203125,high_gpu_util,suspicious,1,vllm_long_output,5,0,vllm_compute_saturation,vllm_long_output,0.6417138323601109,0.17522626603521974,5,0,5,5,,,,,,,
1782184063.6098955,1782184073.6098955,5,long_output,vllm_long_output,10.0,4,4,0,100.0,7106.883645057678,7106.757164001465,7113.329827785492,0.4,0.4,1.0,0.0,0.0,198.0,404.25,161.7,4,512,,0.0,7204.348921775818,7204.472780227661,0.9864713275583389,0.9864368123515752,NVIDIA A100-PCIE-40GB,92.47142857142858,84.2,38178.858928571426,2781.1410714285716,40960.0,93.21010480608258,59.07142857142857,247.18710000000002,250.0,1387.0714285714287,1215.0,13521.4,39764.385714285716,0.0,55.203125,high_gpu_util,suspicious,1,vllm_long_output,6,0,vllm_compute_saturation,vllm_long_output,0.6454081991337508,0.17143643109675577,6,0,6,6,,,,,,,
1782184073.6098955,1782184077.7253258,6,long_output,vllm_long_output,4.1154303550720215,3,3,0,100.0,7104.124228159587,7104.136943817139,7104.216766357422,0.7289638606817097,0.4,1.8224096517042743,0.0,0.0,198.0,398.3333333333333,290.37060450488104,4,512,,0.0,7204.348921775818,7204.472780227661,0.9860883065625413,0.9860731188150381,NVIDIA A100-PCIE-40GB,92.79310344827586,85.82758620689656,38184.13577586207,2775.864224137931,40960.0,93.22298773403826,60.0,247.39606896551723,250.0,1395.5172413793102,1215.0,11027.931034482759,41227.31034482759,0.0,55.203125,high_gpu_util,suspicious,1,vllm_long_output,7,0,vllm_compute_saturation,vllm_long_output,0.6349965793177145,0.18421273486467216,7,0,7,7,,,,,,,
