workload,repetitions,comparison_files,automatic_windows_mean,automatic_windows_stdev,automatic_windows_min,automatic_windows_max,automatic_windows_ci95_half_width,fixed_window_windows_mean,fixed_window_windows_stdev,fixed_window_windows_min,fixed_window_windows_max,fixed_window_windows_ci95_half_width,automatic_suspicious_windows_mean,automatic_suspicious_windows_stdev,automatic_suspicious_windows_min,automatic_suspicious_windows_max,automatic_suspicious_windows_ci95_half_width,fixed_window_suspicious_windows_mean,fixed_window_suspicious_windows_stdev,fixed_window_suspicious_windows_min,fixed_window_suspicious_windows_max,fixed_window_suspicious_windows_ci95_half_width,automatic_profiler_bursts_mean,automatic_profiler_bursts_stdev,automatic_profiler_bursts_min,automatic_profiler_bursts_max,automatic_profiler_bursts_ci95_half_width,fixed_window_profiler_bursts_mean,fixed_window_profiler_bursts_stdev,fixed_window_profiler_bursts_min,fixed_window_profiler_bursts_max,fixed_window_profiler_bursts_ci95_half_width,automatic_profiler_duration_s_mean,automatic_profiler_duration_s_stdev,automatic_profiler_duration_s_min,automatic_profiler_duration_s_max,automatic_profiler_duration_s_ci95_half_width,fixed_window_profiler_duration_s_mean,fixed_window_profiler_duration_s_stdev,fixed_window_profiler_duration_s_min,fixed_window_profiler_duration_s_max,fixed_window_profiler_duration_s_ci95_half_width,automatic_profiler_kernel_instances_mean,automatic_profiler_kernel_instances_stdev,automatic_profiler_kernel_instances_min,automatic_profiler_kernel_instances_max,automatic_profiler_kernel_instances_ci95_half_width,fixed_window_profiler_kernel_instances_mean,fixed_window_profiler_kernel_instances_stdev,fixed_window_profiler_kernel_instances_min,fixed_window_profiler_kernel_instances_max,fixed_window_profiler_kernel_instances_ci95_half_width,automatic_profiler_kernel_total_time_ns_mean,automatic_profiler_kernel_total_time_ns_stdev,automatic_profiler_kernel_total_time_ns_min,automatic_profiler_kernel_total_time_ns_max,automatic_profiler_kernel_total_time_ns_ci95_half_width,fixed_window_profiler_kernel_total_time_ns_mean,fixed_window_profiler_kernel_total_time_ns_stdev,fixed_window_profiler_kernel_total_time_ns_min,fixed_window_profiler_kernel_total_time_ns_max,fixed_window_profiler_kernel_total_time_ns_ci95_half_width,profiler_duration_saved_s_mean,profiler_duration_saved_s_stdev,profiler_duration_saved_s_min,profiler_duration_saved_s_max,profiler_duration_saved_s_ci95_half_width,automatic_diagnosis_counts_total,fixed_window_diagnosis_counts_total
compute_bound,5,RQ1/runs/rq1_l4_compare_rep1/comparison_1781639088.json|RQ1/runs/rq1_l4_compare_rep2/comparison_1781639310.json|RQ1/runs/rq1_l4_compare_rep3/comparison_1781639532.json|RQ1/runs/rq1_l4_compare_rep4/comparison_1781639758.json|RQ1/runs/rq1_l4_compare_rep5/comparison_1781639976.json,7.0,0.0,7.0,7.0,0.0,8.0,0.0,8.0,8.0,0.0,5.0,0.0,5.0,5.0,0.0,4.6,0.5477225575051661,4.0,5.0,0.4800999895855029,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,12.412015867233276,0.8512277692061755,11.496833562850952,13.644759178161621,0.7461340372619601,18.134465980529786,0.8163145717900732,17.184271097183228,19.086986541748047,0.7155312704301244,332.4,1.6733200530681511,330.0,334.0,1.466729695615385,1305.2,70.86042619121056,1218.0,1360.0,62.1119021122361,1888253010.8,9621417.025600268,1878782728.0,1900182936.0,8433543.863573484,7547975360.4,410425642.5704501,7043422383.0,7861700705.0,359753937.5066507,5.722450113296508,0.48349291973450653,5.162571668624878,6.205613613128662,0.4238002297851528,"{""compute_bound"": 25, ""healthy_or_not_suspicious"": 10}","{""compute_bound"": 23, ""healthy_or_not_suspicious"": 17}"
launch_overhead_or_small_kernel,5,RQ1/runs/rq1_l4_compare_rep1/comparison_1781639088.json|RQ1/runs/rq1_l4_compare_rep2/comparison_1781639310.json|RQ1/runs/rq1_l4_compare_rep3/comparison_1781639532.json|RQ1/runs/rq1_l4_compare_rep4/comparison_1781639758.json|RQ1/runs/rq1_l4_compare_rep5/comparison_1781639976.json,7.0,0.0,7.0,7.0,0.0,9.0,0.0,9.0,9.0,0.0,4.6,0.5477225575051661,4.0,5.0,0.4800999895855029,5.2,1.6431676725154984,4.0,7.0,1.4402999687565088,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,12.994092178344726,0.3465797872989501,12.525039911270142,13.392192125320435,0.3037905778989253,23.99302248954773,0.5366492563217073,23.30272626876831,24.537829875946045,0.47039381314633816,124877.8,3934.4126880641284,119297.0,130049.0,3448.6647750432335,477389.8,22321.52654277928,450817.0,507393.0,19565.680678798373,154001401.8,4842815.563712673,147141607.0,160388877.0,4244915.002758556,587848571.0,27539715.376953363,555059448.0,624890372.0,24139624.860234674,10.998930311203003,0.698587895883135,10.226555585861206,11.767449617385864,0.6123392891936682,"{""latency_regression_unknown_gpu_cause"": 7, ""launch_overhead_or_small_kernel"": 23, ""possible_launch_overhead_or_small_kernel"": 5}","{""latency_regression_unknown_gpu_cause"": 15, ""launch_overhead_or_small_kernel"": 26, ""possible_launch_overhead_or_small_kernel"": 4}"
mixed,5,RQ1/runs/rq1_l4_compare_rep1/comparison_1781639088.json|RQ1/runs/rq1_l4_compare_rep2/comparison_1781639310.json|RQ1/runs/rq1_l4_compare_rep3/comparison_1781639532.json|RQ1/runs/rq1_l4_compare_rep4/comparison_1781639758.json|RQ1/runs/rq1_l4_compare_rep5/comparison_1781639976.json,7.0,0.0,7.0,7.0,0.0,8.0,0.0,8.0,8.0,0.0,5.0,0.0,5.0,5.0,0.0,4.8,0.4472135954999579,4.0,5.0,0.39199999999999996,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,11.964303016662598,0.2430518411846243,11.598530292510986,12.268008470535278,0.21304433206655876,18.533151149749756,0.8423807889948591,17.408806085586548,19.663280487060547,0.7383793171959053,1293.0,310.38282813325867,738.0,1443.0,272.0625442798034,5928.0,10.606601717798213,5913.0,5938.0,9.297096320895035,1546207016.2,374938728.4897981,875825012.0,1728176515.0,328648285.84580606,7191435249.4,19132695.791954443,7161343041.0,7210335459.0,16770547.286384646,6.568848133087158,0.7614004749939622,5.4861900806427,7.607415199279785,0.6673969423133543,"{""healthy_or_not_suspicious"": 10, ""mixed"": 25}","{""healthy_or_not_suspicious"": 16, ""mixed"": 24}"
