workload,automatic_windows,fixed_window_windows,automatic_suspicious_windows,fixed_window_suspicious_windows,automatic_profiler_bursts,fixed_window_profiler_bursts,automatic_profiler_duration_s,fixed_window_profiler_duration_s,profiler_duration_saved_s,automatic_kernel_instances,fixed_window_kernel_instances,automatic_kernel_total_time_ns,fixed_window_kernel_total_time_ns,automatic_diagnosis_counts,fixed_window_diagnosis_counts
launch_overhead_or_small_kernel,7,9,5,4,1,1,13.076170682907104,23.30272626876831,10.226555585861206,130049,507393,160388877.0,624890372.0,"{""latency_regression_unknown_gpu_cause"": 2, ""launch_overhead_or_small_kernel"": 5}","{""latency_regression_unknown_gpu_cause"": 5, ""launch_overhead_or_small_kernel"": 4}"
mixed,7,8,5,5,1,1,11.922616004943848,17.408806085586548,5.4861900806427,1418,5923,1695472525.0,7187699158.0,"{""healthy_or_not_suspicious"": 2, ""mixed"": 5}","{""healthy_or_not_suspicious"": 3, ""mixed"": 5}"
compute_bound,7,8,5,5,1,1,11.94364333152771,17.184271097183228,5.240627765655518,330,1218,1878782728.0,7043422383.0,"{""compute_bound"": 5, ""healthy_or_not_suspicious"": 2}","{""compute_bound"": 5, ""healthy_or_not_suspicious"": 3}"
