mode,workload,expected_label,diagnosis_label,count
automatic,compute_bound,compute_bound,compute_bound,25
automatic,launch_overhead_or_small_kernel,launch_overhead_or_small_kernel,launch_overhead_or_small_kernel,23
automatic,mixed,mixed,mixed,25
fixed_window,compute_bound,compute_bound,compute_bound,23
fixed_window,launch_overhead_or_small_kernel,launch_overhead_or_small_kernel,launch_overhead_or_small_kernel,26
fixed_window,mixed,mixed,mixed,24
