workload,automatic_windows,fixed_window_windows,automatic_suspicious_windows,fixed_window_suspicious_windows,automatic_profiler_bursts,fixed_window_profiler_bursts,automatic_profiler_duration_s,fixed_window_profiler_duration_s,profiler_duration_saved_s,automatic_kernel_instances,fixed_window_kernel_instances,automatic_kernel_total_time_ns,fixed_window_kernel_total_time_ns,automatic_diagnosis_counts,fixed_window_diagnosis_counts
launch_overhead_or_small_kernel,7,9,4,7,1,1,13.392192125320435,24.42281198501587,11.030619859695435,125697,483585,155030276.0,595408913.0,"{""latency_regression_unknown_gpu_cause"": 3, ""launch_overhead_or_small_kernel"": 4}","{""launch_overhead_or_small_kernel"": 7, ""possible_launch_overhead_or_small_kernel"": 2}"
mixed,7,8,5,5,1,1,11.976495027542114,18.348788261413574,6.37229323387146,1443,5913,1728176515.0,7161343041.0,"{""healthy_or_not_suspicious"": 2, ""mixed"": 5}","{""healthy_or_not_suspicious"": 3, ""mixed"": 5}"
compute_bound,7,8,5,4,1,1,13.644759178161621,18.8073308467865,5.162571668624878,332,1354,1880065471.0,7833737599.0,"{""compute_bound"": 5, ""healthy_or_not_suspicious"": 2}","{""compute_bound"": 4, ""healthy_or_not_suspicious"": 4}"
