timestamp_start,timestamp_end,window_id,scenario,workload_phase_label,duration_s,request_count,request_success_count,request_error_count,request_success_rate,request_latency_mean_ms,request_latency_p50_ms,request_latency_p95_ms,request_throughput_rps,request_throughput_baseline_rps,request_throughput_ratio_vs_baseline,queue_delay_proxy_mean_ms,queue_delay_proxy_p95_ms,prompt_tokens_mean,output_tokens_mean,output_tokens_per_s,configured_concurrency,requested_max_tokens,queue_pressure_proxy,queue_pressure_score,latency_baseline_mean_ms,latency_baseline_p50_ms,latency_ratio_vs_baseline,latency_ratio_vs_initial_window,gpu_name,gpu_util_percent_mean,gpu_memory_util_percent_mean,gpu_memory_used_mib_mean,gpu_memory_free_mib_mean,gpu_memory_total_mib_mean,gpu_memory_used_percent_mean,gpu_temperature_c_mean,gpu_power_watts_mean,gpu_power_limit_watts_mean,sm_clock_mhz_mean,memory_clock_mhz_mean,pcie_tx_kbps_mean,pcie_rx_kbps_mean,controller_cpu_util_percent,controller_memory_rss_mib,suspicion_reasons,controller_state,trigger_trace,diagnosis_label,diagnosis_stability_streak,diagnosis_changed_from_previous,diagnosis_top_candidate,diagnosis_runner_up,diagnosis_confidence,diagnosis_rank_margin,latency_recovery_streak,gpu_util_recovery_streak,throughput_recovery_streak,queue_delay_recovery_streak,kernel_duration_mean_ns,kernel_duration_cv,kernel_duration_stability_delta_percent,kernel_duration_stable,kernel_summary_source,time_to_first_token_p50_ms,time_to_first_token_p95_ms
1782222756.6736205,1782222766.6736205,0,long_prompt,vllm_long_prompt,10.0,18,18,0,100.0,1968.336370256212,1966.4002656936646,2016.715383529663,1.8,1.8,1.0,13.68174950281779,50.315117835998535,1592.0,29.0,52.2,4,64,,0.20126047134399414,1968.336370256212,1966.4002656936646,1.0,1.0,NVIDIA A100-PCIE-40GB,93.74647887323944,54.140845070422536,37751.125,3208.875,40960.0,92.16583251953125,63.056338028169016,248.21230985915494,250.0,1224.2957746478874,1215.0,6828.549295774648,23450.070422535213,1048.9,43.23828125,high_gpu_util,suspicious,1,vllm_long_prompt,1,0,vllm_compute_saturation,vllm_long_prompt,0.7044,0.12369859154929574,1,0,1,1,,,,,,,
1782222766.6736205,1782222776.6736205,1,long_prompt,vllm_long_prompt,10.0,21,21,0,100.0,1964.4160043625604,1970.3991413116455,2000.1335144042969,2.1,1.8,1.1666666666666667,11.128329095386324,33.733248710632324,1592.0,29.0,60.9,4,64,,0.1349329948425293,1968.336370256212,1966.4002656936646,0.9980082845834215,1.002033602053329,NVIDIA A100-PCIE-40GB,95.07246376811594,53.73913043478261,37751.125,3208.875,40960.0,92.16583251953125,62.91304347826087,244.553,250.0,1230.8695652173913,1215.0,7266.36231884058,24429.115942028984,0.0,43.23828125,high_gpu_util,suspicious,1,vllm_long_prompt,2,0,vllm_compute_saturation,vllm_long_prompt,0.7041012426875133,0.13369327114628382,2,0,2,2,,,,,,,
1782222776.6736205,1782222786.6736205,2,long_prompt,vllm_long_prompt,10.0,21,21,0,100.0,1963.9051982334681,1965.7461643218994,2002.4216175079346,2.1,1.8,1.1666666666666667,11.217900684901647,36.02135181427002,1592.0,29.0,60.9,4,64,,0.14408540725708008,1968.336370256212,1966.4002656936646,0.9977487729792002,0.9996673610235023,NVIDIA A100-PCIE-40GB,94.74285714285715,53.18571428571428,37751.125,3208.875,40960.0,92.16583251953125,63.05714285714286,244.02701428571427,250.0,1221.4285714285713,1215.0,6844.457142857143,23473.257142857143,0.0,43.23828125,high_gpu_util,suspicious,1,vllm_long_prompt,3,0,vllm_compute_saturation,vllm_long_prompt,0.70406231594688,0.1312277092469487,3,0,3,3,,,,,,,
1782222786.6736205,1782222796.6736205,3,long_prompt,vllm_long_prompt,10.0,20,20,0,100.0,1965.9142017364502,1970.5051183700562,2004.929268360138,2.0,1.8,1.1111111111111112,12.542730569839478,38.5290026664734,1592.0,29.0,58.0,4,64,,0.15411601066589362,1968.336370256212,1966.4002656936646,0.9987694336413413,1.0020874959935706,NVIDIA A100-PCIE-40GB,94.67605633802818,53.38028169014085,37751.125,3208.875,40960.0,92.16583251953125,63.08450704225352,241.7686338028169,250.0,1217.7464788732395,1215.0,7065.802816901409,23073.23943661972,0.0,43.23828125,high_gpu_util,suspicious,1,vllm_long_prompt,4,0,vllm_compute_saturation,vllm_long_prompt,0.7042154150462012,0.13070118669417785,4,0,4,4,,,,,,,
1782222796.6736205,1782222806.6736205,4,long_prompt,vllm_long_prompt,10.0,20,20,0,100.0,1967.520785331726,1972.245693206787,2001.4591455459595,2.0,1.8,1.1111111111111112,12.761861085891724,35.05887985229493,1592.0,29.0,58.0,4,64,,0.14023551940917972,1968.336370256212,1966.4002656936646,0.9995856475870637,1.0029726539479797,NVIDIA A100-PCIE-40GB,94.68571428571428,53.5,37751.125,3208.875,40960.0,92.16583251953125,63.15714285714286,241.0732285714286,250.0,1216.5,1215.0,6958.857142857143,23340.071428571428,0.0,43.23828125,high_gpu_util,suspicious,1,vllm_long_prompt,5,0,vllm_compute_saturation,vllm_long_prompt,0.7043378471380596,0.13075321595318057,5,0,5,5,,,,,,,
1782222806.6736205,1782222816.6736205,5,long_prompt,vllm_long_prompt,10.0,19,19,0,100.0,1967.0344151948627,1968.8825607299805,2004.9172401428223,1.9,1.8,1.0555555555555556,12.040677823518452,38.516974449157715,1592.0,29.0,55.1,4,64,,0.15406789779663085,1968.336370256212,1966.4002656936646,0.999338550523669,1.0012623549129964,NVIDIA A100-PCIE-40GB,94.8169014084507,55.08450704225352,37751.125,3208.875,40960.0,92.16583251953125,63.25352112676056,247.7471126760563,250.0,1215.0,1215.0,6979.901408450704,23145.450704225354,0.0,43.23828125,high_gpu_util,suspicious,1,vllm_long_prompt,6,0,vllm_compute_saturation,vllm_long_prompt,0.7043007825785503,0.13174329680028862,6,0,6,6,,,,,,,
1782222816.6736205,1782222816.682073,6,long_prompt,vllm_long_prompt,0.008452653884887695,0,0,0,,,,,0.0,1.8,0.0,,,,,0.0,4,64,,0.0,1968.336370256212,1966.4002656936646,,,,,,,,,,,,,,,,,0.0,43.23828125,,idle,0,healthy_or_not_suspicious,1,1,vllm_long_prompt,vllm_healthy,0.0,0.050000000000000044,0,0,0,0,,,,,,,
