policy,scenario_count,top1_accuracy_mean,premature_stop_rate_mean,re_escalation_rate_mean,heavy_trace_duration_s_mean,selected_windows_mean,duration_saved_vs_repeated_fixed_percent_mean,cost_efficiency_score,composite_score,pareto_status,rank
counter_recovery_stop,6,1.0,0.0,0.0,31.643,4.0,-5.478,0.113,0.867,pareto,1
hybrid_stop,6,1.0,0.0,0.0,31.643,4.0,-5.478,0.113,0.867,pareto,2
fixed_burst,6,1.0,0.0,1.0,10.0,1.0,66.667,0.72,0.758,pareto,3
marginal_utility_stop,6,1.0,0.0,1.0,20.0,2.0,33.333,0.439,0.716,dominated,4
stability_stop,6,1.0,0.0,1.0,20.0,2.0,33.333,0.439,0.716,dominated,5
repeated_fixed_burst,6,1.0,0.0,1.0,30.0,3.0,0.0,0.159,0.674,dominated,6
