workload,mode,expected_label,runs,windows,suspicious_windows,expected_label_match_rate,ambiguous_or_unknown_rate,first_correct_window_mean,first_correct_window_stdev,first_correct_window_missing_runs,first_correct_seconds_mean,first_correct_seconds_stdev,first_correct_seconds_missing_runs,auto_fixed_disagreement_rate,profiler_burst_count,profiler_duration_s_total,profiler_duration_s_mean,profiler_kernel_instances_total,profiler_kernel_instances_mean,profiler_kernel_total_time_ns_total,profiler_report_count_total,match_rate_pass,ambiguous_rate_pass,first_correct_pass,overall_pass
compute_bound,automatic,compute_bound,5,35,25,1.0,0.0,0.0,0.0,0,5.003,0.002,0,0.143,5,51.983,10.397,2272.0,454.4,9453966038.0,5,True,True,True,True
compute_bound,fixed_window,compute_bound,5,40,25,1.0,0.0,0.0,0.0,0,5.003,0.003,0,0.143,5,83.348,16.67,9554.0,1910.8,39017145945.0,5,True,True,True,True
launch_overhead_or_small_kernel,automatic,launch_overhead_or_small_kernel,5,35,28,1.0,0.0,0.0,0.0,0,5.001,0.001,0,0.343,5,59.585,11.917,774149.0,154829.8,2371250338.0,5,True,True,True,True
launch_overhead_or_small_kernel,fixed_window,launch_overhead_or_small_kernel,5,45,29,1.0,0.0,0.0,0.0,0,5.001,0.001,0,0.343,5,115.81,23.162,2982149.0,596429.8,8629841503.0,5,True,True,True,True
mixed,automatic,mixed,5,34,24,1.0,0.0,0.0,0.0,0,5.002,0.001,0,0.147,5,51.121,10.224,11720.0,2344.0,8916148296.0,5,True,True,True,True
mixed,fixed_window,mixed,5,40,25,1.0,0.0,0.0,0.0,0,5.003,0.0,0,0.147,5,84.034,16.807,50040.0,10008.0,37301527267.0,5,True,True,True,True
